ID,Active_surfacing,Porpoise,Leap,Humping_surface,Regular_dive,Peduncle_dive,Tail_out_dive,Fast_swim,Sharking,Backward_slap,Head_slap,Side_slap,Tail_slap,Underwater_tail-slap,Rooster_tailing,Horizontal_circle,Pinwheeling,Side_swim,Vertical_position,Side_roll,Spy-hop,Eye-out,Carousel,Fish_toss,Macrophyte-carrying,Courtship,Bubble-blow,Cast_net
52,0,0,0,0.249967713,1.624790131,0.249967713,0,0.124983856,0.124983856,0,0.249967713,0.124983856,0,0.499935425,0,0,0,3,0,0,0,1,0,0,0,0,0.124983856,0.1110967611
53,0,0,0,0,1.01159328,0,0,0,0,0,0.12644916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07225666289
54,0,0,0,0,1.411777993,0,0,0,0.282355599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.107527074,0,0,0.215054149,0.752689521,0.107527074,0,0.215054149,0.107527074,0,0.537635372,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08602165954
56,0.123648878,0,0,0,0.865542149,0,0,0.123648878,0,0,0.370946635,0,0,0,0,0,0.123648878,5,0,0.247297757,0,0,0,0,0,0,0,0.154561098
57,0.309683813,0,0,0,1.238735251,0,0,0.103227938,0.516139688,0,0.825823501,0,0,0,1,0,0,8,2,0.929051438,0,1,0,0,0,0,0.206455875,0.2752745003
58,0.113690194,0,0,0,0.227380388,0,0,0,0.682141165,0,0.113690194,0.113690194,0,0.113690194,1,0,0,1,0,0,0,2,0,0,2,0,0.113690194,0.1136901942
59,0,0,0,0,0.949865568,0.158310928,0,0,0,0,0.316621856,0.158310928,0,0.158310928,0,0,0,0,0,0,0,0,0,0,0,0,0.316621856,0.2176775259
60,0.316623527,0,0,0,0.791558817,0,0,0,0,0,0.316623527,0.158311763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158311763,0.2770455859
61,0.129378938,0.258757876,0,0,2.587578759,0,0.129378938,0,0,0,0.258757876,0.258757876,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0.258757876,0.2102407742
62,0,0,0,0,1.480521884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0.924866183,0,0.115608273,0,0.115608273,0,0.231216546,0.462433092,0,0.231216546,0,0,0,5,0,0.115608273,0,1,0,0,0,0,0.231216546,0.1618515821
64,0,0,0,0,0.749221122,0,0,0.249740374,0,0,0.124870187,0,0,0.124870187,0,0,0,1,0,0.124870187,0,0,0,0,0,0,0,0.08324679136
65,0.956266735,1.912533469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5578222619
66,0.512091038,0.341394026,0,0,0.341394026,0,0,0.170697013,0,0,0.341394026,0.170697013,0,0,0,0,0,1,0,0.170697013,0,0,0,0,0,0,0,0.1969580917
67,0,0.112771568,0,0,1.240487248,0.338314704,0,0,0.338314704,0,0.225543136,0.225543136,0,0,0,0,0,0,0,0.112771568,0,1,0,0,0,0,0,0.112771568
68,0,0,0,0,0.243906901,0.12195345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2264849793
69,0,0,0,0,5.714430843,0.380962056,0,0,0,0,1.523848225,0.380962056,0,1.142886169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346329142
70,0.79029691,0,0,0,4.083200702,0.526864607,0,0.263432303,0,0,1.317161517,1.053729214,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3402667252
71,0.529022777,0,0,0,2.821454813,0.529022777,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1763409258
72,0.128198554,0,0,0,1.794779755,0.256397108,0.128198554,0.128198554,0,0,0.256397108,0.769191324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2403722886
73,0,0,0,0,1.034762263,0,0,0,0,0,0,0.344920754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310428679
74,0.434381278,0.868762556,0,0,1.520334474,0.868762556,0.217190639,0.651571917,0,0,0.217190639,0.434381278,0,0.217190639,0,0,0.217190639,0,0,0,0,0,0,0,0,0,0.217190639,0.2413229323
75,0,0,0,0.650395929,0.650395929,0.325197964,0,0.650395929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2438984732
76,0.542080097,0.135520024,0,0.271040048,2.57488046,0.542080097,0.135520024,0.406560073,0,2,0,0.135520024,0,0.135520024,4,0.271040048,0.135520024,4,0,0,0,0,0,0,0,0,0.135520024,0.2371600424
77,0.275831632,0,0,0.275831632,4.827053567,0.275831632,0.137915816,0.275831632,0.827494897,0,0,0,0,0.137915816,1,0,0.275831632,0,0,0,0,0,0,0,0,0,0,0.1379158162
78,0.384867028,0,0,0,2.501635685,0.384867028,0,0.192433514,0.192433514,0,0,0,0,0,0,0,0.192433514,0,0,0,0,0,0,0,0,0,0,0.1069075079
